latitude,longitude,area_in_me,building_id,PRECTOTCORR,WS10M,exposure_score
18.99373205184095,72.84160368410846,207.9815,1,8.881784197001252e-16,0.0,8.881784197001252e-16
18.98132603112183,72.84037937365838,31.4906,2,8.881784197001252e-16,0.0,8.881784197001252e-16
18.992025044802563,72.81869149466989,44.8961,3,8.881784197001252e-16,0.0,8.881784197001252e-16
18.995464468808596,72.84641752835704,44.1015,4,8.881784197001252e-16,0.0,8.881784197001252e-16
18.9992615343101,72.81749008806267,392.0109,5,8.881784197001252e-16,0.0,8.881784197001252e-16
18.983644173784118,72.83901458012141,233.9867,6,8.881784197001252e-16,0.0,8.881784197001252e-16
19.001871000807178,72.84542904511437,79.4051,7,8.881784197001252e-16,0.0,8.881784197001252e-16
18.99250358007722,72.81983824879947,62.5097,8,8.881784197001252e-16,0.0,8.881784197001252e-16
19.00053821772812,72.82491550446115,70.334,9,8.881784197001252e-16,0.0,8.881784197001252e-16
18.98598875197714,72.83205967450962,306.1543,10,8.881784197001252e-16,0.0,8.881784197001252e-16
18.993455900638097,72.81535524949255,26.2602,11,8.881784197001252e-16,0.0,8.881784197001252e-16
19.00189107207223,72.82195329209232,21.0711,12,8.881784197001252e-16,0.0,8.881784197001252e-16
18.999530421366345,72.84185382271887,75.8273,13,8.881784197001252e-16,0.0,8.881784197001252e-16
18.994143388001795,72.82092371533146,155.7894,14,8.881784197001252e-16,0.0,8.881784197001252e-16
18.99385233539359,72.81719372202754,34.7252,15,8.881784197001252e-16,0.0,8.881784197001252e-16
18.985730687426678,72.8168245497983,34.47,16,8.881784197001252e-16,0.0,8.881784197001252e-16
18.982772107223322,72.82648912638925,53.5813,17,8.881784197001252e-16,0.0,8.881784197001252e-16
18.991326526184007,72.82306903468104,17.5655,18,8.881784197001252e-16,0.0,8.881784197001252e-16
18.994572062461877,72.8157506510987,118.8459,19,8.881784197001252e-16,0.0,8.881784197001252e-16
18.982666847492645,72.82485803199131,33.627,20,8.881784197001252e-16,0.0,8.881784197001252e-16
18.981721892789988,72.84117148572896,500.1501,21,8.881784197001252e-16,0.0,8.881784197001252e-16
18.99239002012994,72.84411751447286,16.7097,22,8.881784197001252e-16,0.0,8.881784197001252e-16
18.986754850402402,72.82994999832863,92.0282,23,8.881784197001252e-16,0.0,8.881784197001252e-16
18.99299600287864,72.84134474377298,642.2294,24,8.881784197001252e-16,0.0,8.881784197001252e-16
