LAT,LON,YEAR,MO,DY,WS10M
19.5,74.375,2025,2,8,1.73
20,71.875,2025,2,8,4.16
20,72.5,2025,2,8,3.4
20,73.125,2025,2,8,2.92
20,73.75,2025,2,8,2.55
20,74.375,2025,2,8,1.84
18.5,71.875,2025,2,9,5.58
18.5,72.5,2025,2,9,5.21
18.5,73.125,2025,2,9,2.84
18.5,73.75,2025,2,9,2.08
18.5,74.375,2025,2,9,1.59
19,71.875,2025,2,9,5.24
19,72.5,2025,2,9,4.88
19,73.125,2025,2,9,2.82
19,73.75,2025,2,9,2.22
19,74.375,2025,2,9,1.61
19.5,71.875,2025,2,9,4.62
19.5,72.5,2025,2,9,4.39
19.5,73.125,2025,2,9,2.97
19.5,73.75,2025,2,9,2.3
19.5,74.375,2025,2,9,1.88
20,71.875,2025,2,9,4
20,72.5,2025,2,9,4.04
20,73.125,2025,2,9,3.09
20,73.75,2025,2,9,2.49
20,74.375,2025,2,9,2.03
18.5,71.875,2025,2,10,6.34
18.5,72.5,2025,2,10,6.24
18.5,73.125,2025,2,10,3.56
18.5,73.75,2025,2,10,2.34
18.5,74.375,2025,2,10,1.59
19,71.875,2025,2,10,5.68
19,72.5,2025,2,10,5.51
19,73.125,2025,2,10,3.3
19,73.75,2025,2,10,2.51
19,74.375,2025,2,10,2.11
19.5,71.875,2025,2,10,5.08
19.5,72.5,2025,2,10,4.82
19.5,73.125,2025,2,10,3.34
19.5,73.75,2025,2,10,2.73
19.5,74.375,2025,2,10,2.34
20,71.875,2025,2,10,4.47
20,72.5,2025,2,10,4.19
20,73.125,2025,2,10,3.22
20,73.75,2025,2,10,2.95
20,74.375,2025,2,10,2.58
18.5,71.875,2025,2,11,6.78
18.5,72.5,2025,2,11,6.07
18.5,73.125,2025,2,11,3.31
18.5,73.75,2025,2,11,2.74
18.5,74.375,2025,2,11,2.44
19,71.875,2025,2,11,6.33
19,72.5,2025,2,11,5.62
19,73.125,2025,2,11,3.19
19,73.75,2025,2,11,2.82
19,74.375,2025,2,11,2.72
19.5,71.875,2025,2,11,5.78
19.5,72.5,2025,2,11,5.25
19.5,73.125,2025,2,11,3.28
19.5,73.75,2025,2,11,3
19.5,74.375,2025,2,11,2.79
20,71.875,2025,2,11,4.94
20,72.5,2025,2,11,4.83
20,73.125,2025,2,11,3.22
20,73.75,2025,2,11,3.16
20,74.375,2025,2,11,2.98
18.5,71.875,2025,2,12,7.24
18.5,72.5,2025,2,12,6.92
18.5,73.125,2025,2,12,3.43
18.5,73.75,2025,2,12,2.48
18.5,74.375,2025,2,12,2.5
19,71.875,2025,2,12,6.99
19,72.5,2025,2,12,6.45
19,73.125,2025,2,12,3.33
19,73.75,2025,2,12,2.48
19,74.375,2025,2,12,2.56
19.5,71.875,2025,2,12,6.54
19.5,72.5,2025,2,12,5.87
19.5,73.125,2025,2,12,3.77
19.5,73.75,2025,2,12,2.65
19.5,74.375,2025,2,12,2.56
20,71.875,2025,2,12,5.71
20,72.5,2025,2,12,5.32
20,73.125,2025,2,12,3.86
20,73.75,2025,2,12,3.08
20,74.375,2025,2,12,2.88
18.5,71.875,2025,2,13,6.77
18.5,72.5,2025,2,13,6.05
18.5,73.125,2025,2,13,3.71
18.5,73.75,2025,2,13,3.35
18.5,74.375,2025,2,13,3.17
19,71.875,2025,2,13,6.55
19,72.5,2025,2,13,5.84
19,73.125,2025,2,13,3.57
19,73.75,2025,2,13,3.22
19,74.375,2025,2,13,3.25
19.5,71.875,2025,2,13,6.34
19.5,72.5,2025,2,13,5.91
19.5,73.125,2025,2,13,3.87
